displacement,force_x,force_y,force_z,label
0.0,-1.780583351012309,-0.32678029797659996,0.7371015505036568,orange-good
0.0008325811760603959,-1.5519226702196314,-1.744991325508697,-1.6215166062090516,orange-good
0.0018943485526294105,-1.1938095309972807,-0.6468535671931658,-0.6528703214240142,orange-good
0.0034262056522495164,-0.3711688465717956,-1.4430660724500748,-1.9891210608924206,orange-good
0.0037255918071248573,-1.5285318944855433,-0.035219946484601375,-0.3339812765253707,orange-good
0.00448176786917332,-0.9802764283610615,-0.4837326980407397,-0.8510102236435817,orange-good
0.006349357071970718,-1.968643607706647,-1.6793989900202428,-0.1783275910951199,orange-good
0.008518597397219699,-2.2303331169158804,-0.2579704612850841,0.5500976642361087,orange-good
0.009586994544063206,-1.1494308003636038,-1.0290409879031959,-0.6424504464973657,orange-good
0.010825092769489505,-0.986416277810258,-1.0539129177895081,-0.8149206538951286,orange-good
0.015427658584703834,-0.8138617680267025,-2.587103471235062,-0.7924788984290768,orange-good
0.01599272797066097,0.013375228537234243,-1.4392531040337584,-2.2945228291279802,orange-good
0.020409901357175703,-2.0960716430220394,-0.8062941987886284,0.33663656010357923,orange-good
0.02065669160539128,0.6753751240764424,-1.0553416600892853,-2.9643073069688497,orange-good
0.025098482216292912,0.7490159821128777,-0.9749810548196284,-3.0523912902739037,orange-good
0.026499446488913163,-0.818770277450725,-0.48339326456951776,-1.2824294098453333,orange-good
0.026640793586959505,-0.8094343317702049,0.3719984602876708,-0.15595201826598368,orange-good
0.026762606892334482,-0.9576447707849363,-0.7363304406408914,-1.2722443552087952,orange-good
0.02951850912072501,-0.4108074628698804,0.37998229757697477,-1.0793608142457012,orange-good
0.030157058452887717,-1.8910660694748664,-0.8124057985059457,0.1189314761747199,orange-good
0.03056345418041468,-0.7379911988399195,-0.30824550492149705,-1.288334860131393,orange-good
0.03137648272575586,-1.8542501697604972,-0.8070904965111034,0.07893315062123263,orange-good
0.034102386514079014,-0.6712496598352322,-1.4111175134520388,-2.62187577821347,orange-good
